_id,date,center_name,attendance_count
48828190,2025-09-15,Ormsby Community Center,17
48828191,2025-09-15,Phillips Community Center,71
48828192,2025-09-15,Paulson Community Center,18
48828193,2025-09-15,Warrington Community Center,16
48828194,2025-09-15,Magee Community Center,26
48828195,2025-09-15,Jefferson Community Center,36
48828196,2025-09-15,West Penn Community Center,67
48828197,2025-09-13,Paulson Community Center,2
48828198,2025-09-13,Phillips Community Center,2
48828199,2025-09-13,West Penn Community Center,49
48828200,2025-09-12,Arlington Community Center,7
48828201,2025-09-12,Brookline Community Center,25
48828202,2025-09-12,Ormsby Community Center,7
48828203,2025-09-12,Phillips Community Center,27
48828204,2025-09-12,Paulson Community Center,15
48828205,2025-09-12,Warrington Community Center,32
48828206,2025-09-12,Jefferson Community Center,21
48828207,2025-09-12,Magee Community Center,1
48828208,2025-09-12,West Penn Community Center,43
48828209,2025-09-11,Brookline Community Center,5
48828210,2025-09-11,Arlington Community Center,12
48828211,2025-09-11,Ormsby Community Center,13
48828212,2025-09-11,Paulson Community Center,18
48828213,2025-09-11,Phillips Community Center,50
48828214,2025-09-11,Warrington Community Center,19
48828215,2025-09-11,Jefferson Community Center,35
48828216,2025-09-11,West Penn Community Center,117
48828217,2025-09-10,Arlington Community Center,45
48828218,2025-09-10,Brookline Community Center,36
48828219,2025-09-10,Ormsby Community Center,15
48828220,2025-09-10,Phillips Community Center,55
48828221,2025-09-10,Paulson Community Center,20
48828222,2025-09-10,Warrington Community Center,30
48828223,2025-09-10,Jefferson Community Center,32
48828224,2025-09-10,West Penn Community Center,67
48828225,2025-09-09,Brookline Community Center,51
48828226,2025-09-09,Ormsby Community Center,27
48828227,2025-09-09,Paulson Community Center,15
48828228,2025-09-09,Phillips Community Center,52
48828229,2025-09-09,Warrington Community Center,27
48828230,2025-09-09,Jefferson Community Center,33
48828231,2025-09-09,Magee Community Center,4
48828232,2025-09-09,West Penn Community Center,94
48828233,2025-09-08,Brookline Community Center,24
48828234,2025-09-08,Arlington Community Center,13
48828235,2025-09-08,Ormsby Community Center,16
48828236,2025-09-08,Phillips Community Center,63
48828237,2025-09-08,Paulson Community Center,15
48828238,2025-09-08,Warrington Community Center,36
48828239,2025-09-08,Magee Community Center,41
48828240,2025-09-08,Jefferson Community Center,33
48828241,2025-09-08,West Penn Community Center,79
48828242,2025-09-06,Arlington Community Center,2
48828243,2025-09-06,Brookline Community Center,12
48828244,2025-09-06,Ormsby Community Center,3
48828245,2025-09-06,Paulson Community Center,5
48828246,2025-09-06,Phillips Community Center,1
48828247,2025-09-06,Warrington Community Center,5
48828248,2025-09-06,Magee Community Center,7
48828249,2025-09-06,West Penn Community Center,54
48828250,2025-09-05,Brookline Community Center,18
48828251,2025-09-05,Arlington Community Center,14
48828252,2025-09-05,Ormsby Community Center,9
48828253,2025-09-05,Phillips Community Center,19
48828254,2025-09-05,Warrington Community Center,39
48828255,2025-09-05,Magee Community Center,26
48828256,2025-09-05,West Penn Community Center,119
48828257,2025-09-04,Arlington Community Center,9
48828258,2025-09-04,Brookline Community Center,40
48828259,2025-09-04,Ormsby Community Center,8
48828260,2025-09-04,Phillips Community Center,50
48828261,2025-09-04,Paulson Community Center,12
48828262,2025-09-04,Warrington Community Center,17
48828263,2025-09-04,Magee Community Center,29
48828264,2025-09-04,West Penn Community Center,109
48828265,2025-09-03,Brookline Community Center,21
48828266,2025-09-03,Arlington Community Center,10
48828267,2025-09-03,Ormsby Community Center,14
48828268,2025-09-03,Paulson Community Center,21
48828269,2025-09-03,Phillips Community Center,46
48828270,2025-09-03,Warrington Community Center,39
48828271,2025-09-03,Magee Community Center,34
48828272,2025-09-03,Jefferson Community Center,16
48828273,2025-09-03,West Penn Community Center,76
48828274,2025-09-02,Arlington Community Center,10
48828275,2025-09-02,Brookline Community Center,42
48828276,2025-09-02,Ormsby Community Center,20
48828277,2025-09-02,Phillips Community Center,40
48828278,2025-09-02,Paulson Community Center,25
48828279,2025-09-02,Warrington Community Center,28
48828280,2025-09-02,Magee Community Center,29
48828281,2025-09-02,West Penn Community Center,51
48828282,2025-08-29,Brookline Community Center,27
48828283,2025-08-29,Ormsby Community Center,16
48828284,2025-08-29,Paulson Community Center,9
48828285,2025-08-29,Phillips Community Center,34
48828286,2025-08-29,Warrington Community Center,25
48828287,2025-08-29,Magee Community Center,20
48828288,2025-08-29,West Penn Community Center,33
48828289,2025-08-28,Brookline Community Center,27
48828290,2025-08-28,Arlington Community Center,10
48828291,2025-08-28,Ormsby Community Center,10
48828292,2025-08-28,Phillips Community Center,36
48828293,2025-08-28,Paulson Community Center,24
48828294,2025-08-28,Warrington Community Center,47
48828295,2025-08-28,Magee Community Center,18
48828296,2025-08-28,West Penn Community Center,129
48828297,2025-08-27,Arlington Community Center,2
48828298,2025-08-27,Brookline Community Center,19
48828299,2025-08-27,Ormsby Community Center,17
48828300,2025-08-27,Phillips Community Center,47
48828301,2025-08-27,Warrington Community Center,38
48828302,2025-08-27,Magee Community Center,28
48828303,2025-08-27,West Penn Community Center,121
48828304,2025-08-26,Arlington Community Center,7
48828305,2025-08-26,Brookline Community Center,35
48828306,2025-08-26,Ormsby Community Center,8
48828307,2025-08-26,Phillips Community Center,21
48828308,2025-08-26,Paulson Community Center,27
48828309,2025-08-26,Warrington Community Center,19
48828310,2025-08-26,Magee Community Center,25
48828311,2025-08-26,West Penn Community Center,46
48828312,2025-08-25,Arlington Community Center,8
48828313,2025-08-25,Brookline Community Center,18
48828314,2025-08-25,Ormsby Community Center,16
48828315,2025-08-25,Paulson Community Center,28
48828316,2025-08-25,Phillips Community Center,18
48828317,2025-08-25,Warrington Community Center,15
48828318,2025-08-25,Magee Community Center,27
48828319,2025-08-25,West Penn Community Center,67
48828320,2025-08-23,Brookline Community Center,11
48828321,2025-08-23,Ormsby Community Center,5
48828322,2025-08-23,Phillips Community Center,5
48828323,2025-08-23,Warrington Community Center,5
48828324,2025-08-23,Magee Community Center,9
48828325,2025-08-23,West Penn Community Center,70
48828326,2025-08-22,Brookline Community Center,22
48828327,2025-08-22,Ormsby Community Center,12
48828328,2025-08-22,Phillips Community Center,18
48828329,2025-08-22,Paulson Community Center,16
48828330,2025-08-22,Warrington Community Center,15
48828331,2025-08-22,Magee Community Center,13
48828332,2025-08-22,West Penn Community Center,76
48828333,2025-08-21,Arlington Community Center,1
48828334,2025-08-21,Brookline Community Center,42
48828335,2025-08-21,Ormsby Community Center,11
48828336,2025-08-21,Paulson Community Center,16
48828337,2025-08-21,Phillips Community Center,15
48828338,2025-08-21,Warrington Community Center,15
48828339,2025-08-21,Magee Community Center,19
48828340,2025-08-21,West Penn Community Center,90
48828341,2025-08-20,Brookline Community Center,25
48828342,2025-08-20,Ormsby Community Center,18
48828343,2025-08-20,Phillips Community Center,25
48828344,2025-08-20,Paulson Community Center,8
